,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
11.46330873,40.95461958,32.74245415,30.79379201,50.28671804,29.60968502,36.8073963,41.18167456,19.30037718,39.85153795,41.95127314
11.55015198,41.28447794,33.02713193,31.11697657,50.610039,29.91417221,36.98088372,41.47584399,20.01579628,40.19092414,42.03168553
11.63699522,41.61433629,33.31180972,31.44016112,50.93335996,30.2186594,37.15437115,41.77001343,20.73121537,40.53031032,42.11209791
11.72383847,41.94419465,33.5964875,31.76334568,51.25668092,30.52314659,37.32785857,42.06418286,21.44663446,40.8696965,42.1925103
11.81068172,42.274053,33.88116529,32.08653023,51.58000188,30.82763378,37.50134599,42.35835229,22.16205356,41.20908269,42.27292268
11.89752497,42.60391136,34.16584307,32.40971479,51.90332284,31.13212097,37.67483342,42.65252172,22.87747265,41.54846887,42.35333507
11.98436822,42.93376971,34.45052086,32.73289934,52.2266438,31.43660816,37.84832084,42.94669115,23.59289174,41.88785505,42.43374745
12.07121146,43.26362807,34.73519864,33.0560839,52.54996476,31.74109534,38.02180827,43.24086058,24.30831083,42.22724124,42.51415984
12.15805471,43.59348643,35.01987642,33.37926845,52.87328572,32.04558253,38.19529569,43.53503002,25.02372993,42.56662742,42.59457222
12.24489796,43.92334478,35.30455421,33.70245301,53.19660668,32.35006972,38.36878312,43.82919945,25.73914902,42.9060136,42.6749846
12.33174121,44.25320314,35.58923199,34.02563756,53.51992764,32.65455691,38.54227054,44.12336888,26.45456811,43.24539979,42.75539699
12.41858446,44.58306149,35.87390978,34.34882212,53.8432486,32.9590441,38.71575797,44.41753831,27.16998721,43.58478597,42.83580937
12.5054277,44.91291985,36.15858756,34.67200668,54.16656956,33.26353129,38.88924539,44.71170774,27.8854063,43.92417215,42.91622176
12.59227095,45.24277821,36.44326535,34.99519123,54.48989052,33.56801848,39.06273282,45.00587717,28.60082539,44.26355834,42.99663414
12.6791142,45.57263656,36.72794313,35.31837579,54.81321148,33.87250567,39.23622024,45.3000466,29.31624449,44.60294452,43.07704653
